time	V(cap)	V(source)
3.969151116032536e-04	-1.540937e+00	-1.925981e+00
3.972638839246822e-04	-1.541902e+00	-1.710551e+00
3.976126562461107e-04	-1.542114e+00	-1.494042e+00
3.979614285675393e-04	-1.541566e+00	-1.276810e+00
3.983102008889679e-04	-1.540266e+00	-1.059227e+00
3.986589732103964e-04	-1.538215e+00	-8.412923e-01
3.990077455318250e-04	-1.535411e+00	-6.230062e-01
3.993565178532536e-04	-1.531856e+00	-4.043688e-01
3.997052901746822e-04	-1.527549e+00	-1.853799e-01
4.000540624961107e-04	-1.522490e+00	3.396042e-02
4.005423437461107e-04	-1.514133e+00	3.413363e-01
4.010306249961107e-04	-1.504351e+00	6.476731e-01
4.015189062461107e-04	-1.493144e+00	9.529707e-01
4.020071874961107e-04	-1.480512e+00	1.257229e+00
4.024954687461107e-04	-1.466456e+00	1.560449e+00
4.029837499961107e-04	-1.450974e+00	1.862629e+00
4.034720312461107e-04	-1.434067e+00	2.163770e+00
4.045183482103964e-04	-1.392687e+00	2.806786e+00
4.055646651746822e-04	-1.345752e+00	3.431170e+00
4.066109821389679e-04	-1.293259e+00	4.036922e+00
4.076572991032536e-04	-1.235211e+00	4.624041e+00
4.087036160675393e-04	-1.171606e+00	5.192527e+00
4.097499330318250e-04	-1.102445e+00	5.742381e+00
4.107962499961107e-04	-1.027727e+00	6.273602e+00
4.118425669603964e-04	-9.481592e-01	6.775950e+00
4.128888839246822e-04	-8.653225e-01	7.244397e+00
4.139352008889679e-04	-7.792168e-01	7.678941e+00
4.149815178532536e-04	-6.898421e-01	8.079584e+00
4.160278348175393e-04	-5.971984e-01	8.446326e+00
4.170741517818250e-04	-5.012858e-01	8.779165e+00
4.181204687461107e-04	-4.021041e-01	9.078103e+00
4.186785044603964e-04	-3.487873e-01	9.219685e+00
4.192365401746822e-04	-2.951783e-01	9.349578e+00
4.197945758889679e-04	-2.412770e-01	9.467781e+00
4.203526116032536e-04	-1.870834e-01	9.574293e+00
4.209106473175393e-04	-1.325976e-01	9.669116e+00
4.214686830318250e-04	-7.781958e-02	9.752249e+00
4.220267187461107e-04	-2.274928e-02	9.823692e+00
4.223754910675393e-04	1.163930e-02	9.862054e+00
4.227242633889679e-04	4.599220e-02	9.895645e+00
4.230730357103964e-04	8.030941e-02	9.924468e+00
4.234218080318250e-04	1.145909e-01	9.948521e+00
4.237705803532536e-04	1.488368e-01	9.967805e+00
4.241193526746822e-04	1.830469e-01	9.982320e+00
4.244681249961107e-04	2.172214e-01	9.992065e+00
4.253749330318250e-04	3.061827e-01	9.994228e+00
4.262817410675393e-04	3.935288e-01	9.964503e+00
4.271885491032536e-04	4.792599e-01	9.902889e+00
4.280953571389679e-04	5.633758e-01	9.809388e+00
